,Date_UTC,Time_UTC,Date_Local,Time_Local,Time_Since_Previous_Report,Voyage_Number,Voyage_From,Voyage_To,Event,Cargo_Mt,Cargo_Capacity_Usage,Distance,Mode,ME_1_Average_Load,Latitude_Degree,Latitude_North_South,Longitude_Degree,Longitude_East_West,Boiler_Consumption,Boiler_Consumption_MGO,Boiler_Consumption_HFO,ME_Consumption,ME_Consumption_MGO,ME_Consumption_HFO,AE_Consumption_MGO,AE_Consumption_HFO,ME_calculated_SFOC,ME_1_Running_Hours,AE_calculated_SFOC,CO2_Emitted,NOX_Emitted,SOX_Emitted,IMO
1,2018-01-02,15:42,2018-01-02,09:42,21.7,1801RL,USHPY,USCRP,StoppageDeparture,0.0,0.0,0.0,Anchoring,6000.0,29.0,North,94.0,West,2.3,2.3,0.0,1.4,1.4,0.0,2.3,0.0,232.9555,1.0,205.944,19.236,0.2588,0.0096,vessel_0
3,2018-01-02,18:00,2018-01-02,12:00,2.3,1801RL,USHPY,USCRP,NoonSea,0.0,0.0,27.0,Sailing,8090.0,28.0,North,95.0,West,0.0,0.0,0.0,4.3,4.3,0.0,0.2,0.0,230.7216,2.3,144.6928,14.427,0.355,0.0072,vessel_0
4,2018-01-03,02:00,2018-01-02,20:00,8.0,1801RL,USHPY,USCRP,EndOfSeaPassage,0.0,0.0,108.0,Sailing,10671.0,27.0,North,96.0,West,0.0,0.0,0.0,9.9,16.6,0.0,1.0,0.0,194.0638,8.0,191.8161,57.0668,1.3835,0.0285,vessel_0
5,2018-01-03,04:42,2018-01-02,22:42,2.7,1801RL,USHPY,USCRP,StoppageArrival,0.0,0.0,21.0,Maneuvering,3034.8148,27.0,North,96.0,West,0.1,0.1,0.0,2.6,2.6,0.0,0.4,0.0,316.4942,2.7,246.2824,9.9386,0.2313,0.005,vessel_0
7,2018-01-03,17:18,2018-01-03,11:18,3.7,1801RL,USCRP,USGUM,Arrival,0.0,0.0,20.5,Maneuvering,1713.0435,27.0,North,97.0,West,0.2,0.2,0.0,3.6,3.6,0.0,0.5,0.0,911.3699,2.3,224.6495,13.7858,0.3176,0.0069,vessel_0
10,2018-01-04,16:42,2018-01-04,10:42,2.5,1801RL,USCRP,USGUM,BeginOfSeaPassage,58669.39,0.5145,16.0,Maneuvering,3200.0,27.0,North,96.0,West,0.2,0.2,0.0,2.3,2.3,0.0,0.3,0.0,286.7651,2.5,199.4887,8.9768,0.2023,0.0045,vessel_0
11,2018-01-04,18:00,2018-01-04,12:00,1.3,1801RL,USCRP,USGUM,NoonSea,58669.39,0.5145,15.0,Sailing,8883.0769,27.0,North,96.0,West,0.0,0.0,0.0,2.2,2.2,0.0,0.1,0.0,190.0222,1.3,127.8774,7.3738,0.1815,0.0037,vessel_0
12,2018-01-05,06:36,2018-01-05,00:36,12.6,1801RL,USCRP,USGUM,EndOfSeaPassage,58669.39,0.5145,163.0,Sailing,8965.0,28.0,North,94.0,West,0.0,0.0,0.0,22.1,22.1,0.0,1.6,0.0,195.1461,12.6,231.459,75.9822,1.8572,0.0379,vessel_0
13,2018-01-05,11:30,2018-01-05,05:30,4.9,1801RL,USGUM,USGUM,Arrival,58669.39,0.5145,22.0,Maneuvering,1145.0,0.0,0,0.0,0,0.5,0.5,0.0,1.6,1.6,0.0,0.7,0.0,464.6026,3.0,203.5599,8.9768,0.1712,0.0045,vessel_0
16,2018-01-06,09:18,2018-01-06,03:18,15.3,1801RL,USGUM,USGUM,StoppageArrival,0.0,0.0,3.5092,Waiting in port,1712.5,28.0,North,93.0,West,22.0,22.0,0.0,0.4,0.4,0.0,2.5,0.0,291.2245,0.8,148.1645,79.8294,0.3261,0.0398,vessel_0
